,Bodysite,Day,Day2
BS00_1,BS,0,A0
BS00_2,BS,0,A0
BS00_3,BS,0,A0
BS00_4,BS,0,A0
BS00_5,BS,0,A0
BS00_6,BS,0,A0
BS01_1,BS,1,B1
BS01_2,BS,1,B1
BS01_3,BS,1,B1
BS01_4,BS,1,B1
BS01_5,BS,1,B1
BS01_6,BS,1,B1
BS03_1,BS,3,C3
BS03_2,BS,3,C3
BS03_3,BS,3,C3
BS03_4,BS,3,C3
BS03_5,BS,3,C3
BS03_6,BS,3,C3
BS07_1,BS,7,D7
BS07_2,BS,7,D7
BS07_3,BS,7,D7
BS07_4,BS,7,D7
BS07_5,BS,7,D7
BS07_6,BS,7,D7
BS14_1,BS,14,E14
BS14_2,BS,14,E14
BS14_3,BS,14,E14
BS14_4,BS,14,E14
BS14_5,BS,14,E14
BS14_6,BS,14,E14
BS21_1,BS,21,F21
BS21_2,BS,21,F21
BS21_3,BS,21,F21
BS21_4,BS,21,F21
BS21_5,BS,21,F21
BS21_6,BS,21,F21
BS28_1,BS,28,G28
BS28_2,BS,28,G28
BS28_3,BS,28,G28
BS28_4,BS,28,G28
BS28_5,BS,28,G28
BS28_6,BS,28,G28
BS35_1,BS,35,H35
BS35_2,BS,35,H35
BS35_3,BS,35,H35
BS35_4,BS,35,H35
BS35_5,BS,35,H35
BS35_6,BS,35,H35
GS01_1,GS,1,B1
GS01_2,GS,1,B1
GS01_3,GS,1,B1
GS01_4,GS,1,B1
GS01_5,GS,1,B1
GS01_6,GS,1,B1
GS03_1,GS,3,C3
GS03_2,GS,3,C3
GS03_3,GS,3,C3
GS03_4,GS,3,C3
GS03_5,GS,3,C3
GS03_6,GS,3,C3
GS07_1,GS,7,D7
GS07_2,GS,7,D7
GS07_3,GS,7,D7
GS07_4,GS,7,D7
GS07_5,GS,7,D7
GS07_6,GS,7,D7
GS14_1,GS,14,E14
GS14_2,GS,14,E14
GS14_3,GS,14,E14
GS14_4,GS,14,E14
GS14_5,GS,14,E14
GS14_6,GS,14,E14
GS21_1,GS,21,F21
GS21_2,GS,21,F21
GS21_3,GS,21,F21
GS21_4,GS,21,F21
GS21_5,GS,21,F21
GS21_6,GS,21,F21
GS28_1,GS,28,G28
GS28_2,GS,28,G28
GS28_3,GS,28,G28
GS28_4,GS,28,G28
GS28_5,GS,28,G28
GS28_6,GS,28,G28
GS35_1,GS,35,H35
GS35_2,GS,35,H35
GS35_3,GS,35,H35
GS35_4,GS,35,H35
GS35_5,GS,35,H35
GS35_6,GS,35,H35
MS01_1,MS,1,B1
MS01_2,MS,1,B1
MS01_3,MS,1,B1
MS01_4,MS,1,B1
MS01_5,MS,1,B1
MS01_6,MS,1,B1
MS03_1,MS,3,C3
MS03_2,MS,3,C3
MS03_3,MS,3,C3
MS03_4,MS,3,C3
MS03_5,MS,3,C3
MS03_6,MS,3,C3
MS07_1,MS,7,D7
MS07_2,MS,7,D7
MS07_3,MS,7,D7
MS07_4,MS,7,D7
MS07_5,MS,7,D7
MS07_6,MS,7,D7
MS14_1,MS,14,E14
MS14_2,MS,14,E14
MS14_3,MS,14,E14
MS14_4,MS,14,E14
MS14_5,MS,14,E14
MS14_6,MS,14,E14
MS21_1,MS,21,F21
MS21_2,MS,21,F21
MS21_3,MS,21,F21
MS21_4,MS,21,F21
MS21_5,MS,21,F21
MS21_6,MS,21,F21
MS28_1,MS,28,G28
MS28_2,MS,28,G28
MS28_3,MS,28,G28
MS28_4,MS,28,G28
MS28_5,MS,28,G28
MS28_6,MS,28,G28
MS35_1,MS,35,H35
MS35_2,MS,35,H35
MS35_3,MS,35,H35
MS35_4,MS,35,H35
MS35_5,MS,35,H35
MS35_6,MS,35,H35
