,Bodysite,Day,copies,Shannon
BS00_1,BS,0,109943349,7.1159538
BS00_2,BS,0,124186313,7.0256561
BS00_3,BS,0,107567586,6.9765243
BS00_4,BS,0,105364856,6.9845596
BS00_5,BS,0,163266221,7.2487845
BS00_6,BS,0,118132561,7.0448704
BS01_1,BS,1,136516514,7.1721616
BS01_2,BS,1,145362684,6.9047863
BS01_3,BS,1,201224971,7.0017762
BS01_4,BS,1,144265554,6.9819258
BS01_5,BS,1,90808126,6.7737555
BS01_6,BS,1,116615903,6.8513114
BS03_1,BS,3,250239010,7.3881601
BS03_2,BS,3,137103519,7.0364833
BS03_3,BS,3,291799803,7.1649092
BS03_4,BS,3,135973964,6.9101144
BS03_5,BS,3,262557242,7.4984625
BS03_6,BS,3,215175085,7.1297845
BS07_1,BS,7,247128710,7.3124329
BS07_2,BS,7,188468489,7.2883901
BS07_3,BS,7,218358879,7.3117675
BS07_4,BS,7,220145537,7.2137214
BS07_5,BS,7,279141871,7.3161366
BS07_6,BS,7,223176296,7.3187681
BS14_1,BS,14,187900966,7.0917653
BS14_2,BS,14,231492770,7.1654056
BS14_3,BS,14,129759627,6.8969467
BS14_4,BS,14,122738190,7.0697628
BS14_5,BS,14,140166239,7.0568824
BS14_6,BS,14,177058797,7.2191024
BS21_1,BS,21,206147985,7.112068
BS21_2,BS,21,239599894,7.4654552
BS21_3,BS,21,253380010,7.3439241
BS21_4,BS,21,212013286,7.1448436
BS21_5,BS,21,203766939,7.0287039
BS21_6,BS,21,163821791,7.0066788
BS28_1,BS,28,208098602,7.3633631
BS28_2,BS,28,176119293,7.0750801
BS28_3,BS,28,272206911,7.2677104
BS28_4,BS,28,251218742,7.4215578
BS28_5,BS,28,203675901,7.1912111
BS28_6,BS,28,203760188,7.0929376
BS35_1,BS,35,189771709,7.3057146
BS35_2,BS,35,250012715,7.3917759
BS35_3,BS,35,158265006,7.1061972
BS35_4,BS,35,91535740,6.9015796
BS35_5,BS,35,167217544,7.2489071
BS35_6,BS,35,138941273,7.0664977
GS01_1,GS,1,249003223,7.1402962
GS01_2,GS,1,263651315,7.1905236
GS01_3,GS,1,381011403,7.3610026
GS01_4,GS,1,338157530,7.3336066
GS01_5,GS,1,286999617,7.0509392
GS01_6,GS,1,270413327,7.368902
GS03_1,GS,3,287067555,7.0940152
GS03_2,GS,3,305781207,7.2594079
GS03_3,GS,3,347760499,7.1257823
GS03_4,GS,3,241915919,7.1029587
GS03_5,GS,3,280614595,7.2988403
GS03_6,GS,3,304337582,7.3936521
GS07_1,GS,7,308988771,6.7544428
GS07_2,GS,7,479528616,6.479884
GS07_3,GS,7,240233413,7.2707399
GS07_4,GS,7,253904887,7.1722921
GS07_5,GS,7,509221505,6.5501966
GS07_6,GS,7,324036188,7.3161389
GS14_1,GS,14,404754233,5.2287014
GS14_2,GS,14,1521493250,4.0497772
GS14_3,GS,14,1146862315,5.2838784
GS14_4,GS,14,358946344,5.911954
GS14_5,GS,14,781372798,3.696
GS14_6,GS,14,954725762,3.3816929
GS21_1,GS,21,1277726663,3.2213199
GS21_2,GS,21,313787147,4.0505493
GS21_3,GS,21,4044982791,4.9047011
GS21_4,GS,21,1154765869,4.7161332
GS21_5,GS,21,2784369775,3.9498768
GS21_6,GS,21,1010516501,5.0472416
GS28_1,GS,28,6023356997,2.6143927
GS28_2,GS,28,4524627594,3.7705497
GS28_3,GS,28,791035092,2.6056294
GS28_4,GS,28,1148105868,3.2591978
GS28_5,GS,28,327218464,3.7099783
GS28_6,GS,28,1606526084,3.842644
GS35_1,GS,35,439196104,3.7303999
GS35_2,GS,35,653191766,3.5859091
GS35_3,GS,35,371667274,5.0817987
GS35_4,GS,35,215451025,3.5207534
GS35_5,GS,35,328461038,4.4296226
GS35_6,GS,35,48633644,3.3870005
MS01_1,MS,1,230319,1.798561
MS01_2,MS,1,445864,2.8155679
MS01_3,MS,1,434183,1.1189518
MS01_4,MS,1,451093,3.5892542
MS01_5,MS,1,342484,3.9880343
MS01_6,MS,1,234352,4.3006059
MS03_1,MS,3,310133,1.1567001
MS03_2,MS,3,438651,3.9777051
MS03_3,MS,3,584543,4.4440597
MS03_4,MS,3,452773,3.6030017
MS03_5,MS,3,453261,1.1195026
MS03_6,MS,3,372591,3.6638257
MS07_1,MS,7,4973635,2.3398264
MS07_2,MS,7,316981,3.1669365
MS07_3,MS,7,928080,3.152435
MS07_4,MS,7,221417,2.7682776
MS07_5,MS,7,419926,1.8817047
MS07_6,MS,7,857642,1.4898728
MS14_1,MS,14,15058646,1.9820095
MS14_2,MS,14,664376886,1.791798
MS14_3,MS,14,98965563,3.3078243
MS14_4,MS,14,20200680,0.9415739
MS14_5,MS,14,21931227,2.0033682
MS14_6,MS,14,37972922,1.6601939
MS21_1,MS,21,42239488,1.1047558
MS21_2,MS,21,81379443,3.0229914
MS21_3,MS,21,25793045,2.0612977
MS21_4,MS,21,83747691,1.762716
MS21_5,MS,21,172168136,1.669357
MS21_6,MS,21,93660750,2.474936
MS28_1,MS,28,45175002,2.166181
MS28_2,MS,28,336848859,2.1622544
MS28_3,MS,28,119958720,1.8447267
MS28_4,MS,28,138165390,1.993721
MS28_5,MS,28,29441500,1.5017823
MS28_6,MS,28,97321223,2.1411667
MS35_1,MS,35,101905602,1.8073035
MS35_2,MS,35,515199997,2.5443238
MS35_3,MS,35,233952361,2.5349785
MS35_4,MS,35,144669469,1.9558322
MS35_5,MS,35,105383859,2.5077226
MS35_6,MS,35,589023424,2.4887184
