"","MS01_1","MS01_2","MS01_3","MS01_4","MS01_5","MS01_6","MS03_1","MS03_2","MS03_3","MS03_4","MS03_5","MS03_6","MS07_1","MS07_2","MS07_3","MS07_4","MS07_5","MS07_6","MS14_1","MS14_2","MS14_3","MS14_4","MS14_5","MS14_6","MS21_1","MS21_2","MS21_3","MS21_4","MS21_5","MS21_6","MS28_1","MS28_2","MS28_3","MS28_4","MS28_5","MS28_6","MS35_1","MS35_2","MS35_3","MS35_4","MS35_5","MS35_6"
"Tissierella",174,0,0,0,134,116,283,0,384,0,214,118,832,733,0,0,2647,1420,3760,156709,137819,734,3518,114254,8226,15665,7739,228242,1419155,1205870,26926477,77661677,63854836,4543940,481475,54854082,42422926,314591842,74096216,85051897,38745713,365953715
"Proteus",371,0,0,735,245,0,503,516,0,12285,33581,4833,958259,2551,66856,562,63794,4318,7010,208091,7488,19028560,12940704,11510151,3515434,34091028,4007439,22775584,82143850,4466055,4138691,95568263,8191988,30035507,25473071,15363316,33523508,27313394,19479518,14325029,11815871,29538658
"Morganella",946,0,0,0,384,0,0,0,0,918,11132,9457,15345,0,0,0,64240,13084,0,75699,16619,7789,4524453,21111007,37588292,2730,15291,194710,80884223,32237514,4255890,31054151,43985078,87454420,354625,19550122,23231823,32494604,45345049,36886659,31932085,35518565
"Enterococcus",0,0,2741,866,385,458,0,983,4895,0,563,1441,1030,0,15716,1546,0,0,0,91970,0,789,9000,14782,395284,2686775,36395,24305,130541,17613,334389,783908,113857,152798,456695,133200,584744,1865720,1059331,763216,1270997,2325578
"Corynebacterium",159,1002,0,291,184,106,4546,2152,17417,1548,392,1887,0,0,0,3173,0,1377,3213,286381,203006,1958,218636,95030,27482,52195,16815,201756,166686,558725,7898,1371949,191789,1269002,136565,66699,49608,1767150,744902,419617,726575,1762266
"Jeotgalicoccus",146,0,0,0,112,971,3775,1145,11405,1836,834,2705,2590,1669,1063,2059,2858,837,48011,890491,796081,4798,451152,756237,20559,496334,49162,573269,833947,417994,45499,448181,109026,804368,115016,223269,69312,2575694,500586,323687,440050,3002748
"Rhodococcus",0,0,0,119,567,109,0,552,144,318,335,332,1918,0,1739,579,0,1648,11142,440856,203814,2583,102516,42845,2086,31038,24651,18929,14101,91399,7082,148884,23206,292741,32022,34502,15494,31754,88354,30173,124667,33024
"Sporosarcina",0,0,0,608,321,0,670,719,808,0,0,169,0,295,0,0,3676,720,1519,8105899,9537569,4651,24174,340611,117980,3050752,93496,298126,1781274,1260411,63065,392301,258932,1254376,199115,2991414,20793,2248166,657021,222708,588517,2543605
"Mammaliicoccus",0,0,0,637,0,1117,4679,2781,9931,1130,1371,3639,12191,0,19999,3474,1456,3001,297277,1182003,1551647,18529,332678,483136,31992,654039,212895,560967,1219718,541034,195248,964031,192162,238767,123675,563383,11047,3799875,402130,213782,177905,4295083
"Psychrobacter",0,0,0,175,0,0,0,240,282,1008,196,0,2013,0,0,3250,1481,997,4140,0,391749,2356,91561,619140,0,2156,0,53869,726687,223183,19762,160994,536646,774059,45224,110377,61467,1007497,195721,45372,943466,1128840
"Paenalcaligenes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557,0,0,0,978,11403,228665,0,0,0,0,55755,592175,104827,251955,38035,388513,2240,566202,27786,167836,1684656,10711,331801,84870
"Clostridium",71,137,0,233,514,236,0,12157,3087,0,58,216,0,0,50986,1378,289,5129,611,208001,37884745,497,4734,134,0,6168882,16878821,36850,74721,14671025,7081425,121876285,46177,610068,27846,12952,718900,75383513,76496968,4871619,9033346,86039976
"Vagococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1070,0,0,0,391,0,0,0,0,0,0,0,1568084,24714,345643,75914,6211840,6263,0,153764,2794822,2591098,21329,0,3229275
"Microbacterium",0,1047,0,395,0,0,0,677,1431,0,0,0,7502,0,831,479,927,0,30655,639640,559643,1009,38467,7843,3734,100976,31178,133088,0,5618,1114,0,38185,76844,16195,3688,25207,140644,31797,3360,73519,65572
