,MS01_1,MS01_2,MS01_3,MS01_4,MS01_5,MS01_6,MS03_1,MS03_2,MS03_3,MS03_4,MS03_5,MS03_6,MS07_1,MS07_2,MS07_3,MS07_4,MS07_5,MS07_6,MS14_1,MS14_2,MS14_3,MS14_4,MS14_5,MS14_6,MS21_1,MS21_2,MS21_3,MS21_4,MS21_5,MS21_6,MS28_1,MS28_2,MS28_3,MS28_4,MS28_5,MS28_6,MS35_1,MS35_2,MS35_3,MS35_4,MS35_5,MS35_6
Scopulariopsis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1369,0,489,1092,1316,480,313,145,705,49821,14710,8929,1868630,2160,268463,5257,150853,213,254009,53549,271130,62703,262576
Acaulium,0,0,87,0,0,0,191,0,0,0,0,177,303,67,58,0,258,251,0,72433,547,1099,0,2303,12130,3133,54967,62171,331296,87793,8749,38831,5083,502615,47614,75194,1636,2602155,991439,80210,105947,2703607
Enterocarpus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,480,0,2748,1692,7554,1878,121,0,318,113077,438,2635,142,29459,43841,1004,6351,27054
Neocosmospora,174,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,323,84,41615,135691,65693,5746,17469,3401,2042,260209,142478,76551,327338,25195,483,1221304,826,53846,2775,3411,853,75150,59186,189037,19729,83266
Pseudogymnoascus,174,0,0,318,0,58,64,0,153,338,856,59,4085,400,347,0,65,1087,9192,394477,36953,37042,1522927,42121,1801,134883,203520,14803,105396,24726,3680,665528,1461,82462,12122,32093,3770,180511,30532,75941,36351,197194
Botryotrichum,0,0,0,0,0,0,0,65,0,338,285,0,1210,0,116,0,323,251,75710,57644,24635,5501,9341,3400,1141,34308,53375,7754,66008,31299,2172,2831,64,33384,24099,72248,1422,882265,313,14435,45811,888577
Cephalotrichum,0,84,0,0,0,0,0,0,0,0,0,0,1815,0,58,0,0,84,0,0,0,244,51436,2852,0,41045,26181,4934,16187,11424,121,7146,127,14308,4820,2016,497,33067,313,10168,5000,39529
Chrysosporium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2314,0,1979,0,0,1079,0,462,292,155,284,5261,3914,126,811,3608
Cheilymenia,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,154,129,84,50306,99407,42701,2322,34937,33236,3303,1097,56557,480310,68166,66354,181,0,127,61385,17819,21395,0,95591,32255,60126,26486,100400
Fusarium,435,0,87,0,134,116,0,131,1381,423,4210,1531,294554,67,8099,462,30673,4512,552702,4733455,3733029,121272,8927818,663289,11950,316919,606075,380075,953059,127385,10680,11666425,4257,215847,68940,39844,1138,2031011,105847,299122,73109,2114428
