ID,AA_Acidobacteriota,AA_Actinobacteriota,AA_Pseudomonadota,AA_Chloroflexota,AA_Planctomycetota,RA_Acidobacteriota,RA_Actinobacteriota,RA_Pseudomonadota,RA_Chloroflexota,RA_Planctomycetota,Day
BS00_1,36911449,14152559,10174258,13210429,12939780,0.216624685,0.139378673,0.139378673,0.118387909,0.098236776,0
BS00_2,41579270,15617493,11303031,16502425,15199981,0.22418136,0.12006717,0.128463476,0.167086482,0.099076406,0
BS00_3,36828470,15075564,10633440,13522132,12551344,0.206549118,0.157850546,0.145256087,0.129303107,0.103274559,0
BS00_4,33914834,15030448,9650550,12590777,14159658,0.17884131,0.156171285,0.133501259,0.145256087,0.120906801,0
BS00_5,50335653,22258860,17070964,19388783,21150337,0.193115029,0.150293871,0.11922754,0.116708648,0.098236776,0
BS00_6,39469332,15890473,11339010,14317405,15203979,0.22418136,0.136020151,0.125944584,0.14945424,0.121746432,0
BS01_1,44875407,19209432,14836217,14796804,16464967,0.188916877,0.159529807,0.152812762,0.117548279,0.10495382,1
BS01_2,54304624,16512788,11436772,19249871,18100981,0.250209908,0.111670865,0.115029387,0.165407221,0.101595298,1
BS01_3,77598040,23632199,20690385,22374039,21109832,0.251889169,0.121746432,0.132661629,0.141057935,0.094878254,1
BS01_4,56254703,14961139,13655216,14293509,15682850,0.243492863,0.13434089,0.139378673,0.109991604,0.078085642,1
BS01_5,33852249,10065826,6787757,12744722,11416080,0.219983207,0.127623846,0.109151973,0.17968094,0.107472712,1
BS01_6,42074947,15403543,8945384,13605867,13396632,0.232577666,0.136859782,0.107472712,0.14861461,0.100755668,1
BS03_1,80513918,36898902,33626123,22290206,29063300,0.195633921,0.144416457,0.190596138,0.110831234,0.098236776,3
BS03_2,48241301,19155724,12800523,16233232,16383299,0.240973971,0.157850546,0.13434089,0.136859782,0.100755668,3
BS03_3,98374004,45952947,30824532,33254646,37093864,0.218303946,0.165407221,0.136859782,0.139378673,0.123425693,3
BS03_4,47828508,18915583,11959548,17193223,18464449,0.209907641,0.130142737,0.127623846,0.141897565,0.120906801,3
BS03_5,80424773,40986813,33724071,26240450,32536605,0.220822838,0.159529807,0.176322418,0.099916037,0.102434929,3
BS03_6,79718954,27871555,23712380,24475799,23287503,0.246011755,0.13434089,0.156171285,0.126784215,0.105793451,3
BS07_1,79869370,37008204,26919515,29761903,31305075,0.227539882,0.146095718,0.152812762,0.143576826,0.108312343,7
BS07_2,58983078,32844293,24918365,20378649,21222349,0.204869857,0.17968094,0.174643157,0.129303107,0.080604534,7
BS07_3,70458224,33948339,26480921,22447701,28287329,0.192275399,0.155331654,0.165407221,0.129303107,0.117548279,7
BS07_4,68858289,31555948,23645194,27976622,28014260,0.213266163,0.147774979,0.133501259,0.141057935,0.123425693,7
BS07_5,93128129,47634944,35687051,24033491,34550774,0.210747271,0.176322418,0.174643157,0.100755668,0.094038623,7
BS07_6,68222604,36231221,24044363,26093315,28794073,0.19395466,0.168765743,0.146095718,0.141057935,0.097397145,7
BS14_1,58895962,33775492,14315440,25596255,24525001,0.218303946,0.198152813,0.109991604,0.159529807,0.099076406,14
BS14_2,68960260,41094459,23083089,25764016,31510534,0.188077246,0.192275399,0.141897565,0.138539043,0.128463476,14
BS14_3,38683264,24050288,11049766,16754014,17161252,0.183879093,0.192275399,0.136020151,0.133501259,0.11922754,14
BS14_4,37673678,25587370,11526578,14278379,13432070,0.212426532,0.215785055,0.133501259,0.129303107,0.108312343,14
BS14_5,40483758,26124104,12483747,17246000,19812199,0.17968094,0.193115029,0.122586062,0.155331654,0.113350126,14
BS14_6,51689132,31266838,16836790,21319148,24933407,0.194794291,0.189756507,0.132661629,0.142737196,0.130142737,14
BS21_1,66164202,37260767,18392593,24921542,27258919,0.214945424,0.186397985,0.121746432,0.131821998,0.116708648,21
BS21_2,69920788,45915217,29629116,24130326,30128083,0.182199832,0.192275399,0.177162049,0.098236776,0.103274559,21
BS21_3,67701487,54351506,26467089,31599278,31946134,0.170445004,0.214105793,0.151133501,0.144416457,0.110831234,21
BS21_4,62210873,39992092,21008235,27598697,27540779,0.188916877,0.214945424,0.140218304,0.14861461,0.105793451,21
BS21_5,66654601,33097628,19031063,27207030,28241435,0.22334173,0.165407221,0.137699412,0.155331654,0.113350126,21
BS21_6,55550095,25620730,15715420,19454178,19494506,0.215785055,0.16372796,0.140218304,0.130982368,0.109991604,21
BS28_1,54361001,39888662,22382979,25286163,30059815,0.161209068,0.17884131,0.137699412,0.136020151,0.136020151,28
BS28_2,52572515,29778384,15759767,23231585,24769944,0.193115029,0.181360202,0.130982368,0.152812762,0.12006717,28
BS28_3,81028208,41038018,31663671,34991221,39116797,0.184718724,0.151133501,0.167086482,0.14945424,0.108312343,28
BS28_4,75467010,35923861,31214987,27327455,37965277,0.19395466,0.151973132,0.170445004,0.120906801,0.125944584,28
BS28_5,58848632,33558409,19712472,24803921,28189686,0.178001679,0.174643157,0.132661629,0.136859782,0.124265323,28
BS28_6,61252792,31029971,20186971,28200149,30264701,0.207388749,0.147774979,0.128463476,0.159529807,0.125944584,28
BS35_1,54631141,31979684,20396667,21544055,27102997,0.183879093,0.171284635,0.139378673,0.121746432,0.144416457,35
BS35_2,72248201,41860151,29327333,30099447,36450377,0.192275399,0.178001679,0.151133501,0.138539043,0.127623846,35
BS35_3,47318700,26188182,14661810,20759966,22333279,0.192275399,0.170445004,0.136020151,0.139378673,0.138539043,35
BS35_4,53603802,29744789,18600301,21925427,25852766,0.209907641,0.175482788,0.141057935,0.125944584,0.113350126,35
BS35_5,48457578,27978546,15691699,20895852,23382685,0.180520571,0.165407221,0.13434089,0.136859782,0.129303107,35
BS35_6,45361234,20713973,12919795,16324204,19989999,0.206549118,0.170445004,0.143576826,0.130142737,0.13434089,35
