"","V1","Group","Com_201_neg","Com_249_neg","Com_442_neg","Com_916_neg","Com_994_neg","Com_1063_neg","Com_1081_neg","Com_1139_neg"
"1","MS01.1.R2","MS01",72539197.47,171472850.7,763093280.3,747390599.6,1427167007,60951573.91,833697348.7,215939343
"2","MS01.2.R2","MS01",114145908.7,89431512.14,280645211.8,793656747.2,570649700.5,45486191.43,846785715.6,67642839.24
"3","MS01.3.R2","MS01",128228276,92479727.11,920821927.8,814795550.7,1425202256,98163463.55,267019331,262291754.7
"4","MS01.4.R2","MS01",141422636.3,69830070.28,381234316.3,883964761.2,1829379895,58890415.21,240284745.1,133615120.5
"5","MS01.5.R2","MS01",87880183.95,69656007.45,593424687.2,1090689789,1853291974,30115430.42,310155468.2,148668212.4
"6","MS01.6.R2","MS01",16893162.87,118055522.5,359330016,1028208022,782392935.4,9526722.479,855924251.2,160085351.5
"7","MS03.1.R2","MS03",19235317.14,114211364.5,161139034.3,1129721644,416700074,14280873.61,1331716297,290238521.2
"8","MS03.2.R2","MS03",48836709.29,227588571.5,255928723.8,948140929.3,1250255130,24934085.87,487742480,203829464.6
"9","MS03.3.R2","MS03",31169198.71,466129565.8,180856556.1,731710871.8,728317862.2,12391763.18,777270118.7,196365093.9
"10","MS03.4.R2","MS03",35787380.42,261038145.8,248504693.1,755878397.1,639434054.6,47727692.84,1241522381,261540693.7
"11","MS03.5.R2","MS03",18068774.29,306608538.9,366612975.8,1017398590,711485339.8,26683871.3,598596101.4,266212490.6
"12","MS03.6.R2","MS03",66359403.23,242481519.8,226796696.1,649506064,793795063.4,33170637.18,175551506,151506691.1
"13","MS07.1.R2","MS07",18482943.22,749674001.9,174133839.9,307400495,705419794.2,74565632.07,276881341,257052957.3
"14","MS07.2.R2","MS07",30490398.43,1191339810,124802610.5,577993537.7,480703593.1,27697585.69,534881278.2,181790053.1
"15","MS07.3.R2","MS07",29982263.07,612933824.8,433050063.1,1262857181,414730162.9,41968677.44,1307105160,235453554.6
"16","MS07.4.R2","MS07",21172836.33,225305484,332989840.6,1848127645,219346212.2,43858061.53,607633722.4,108896700.1
"17","MS07.5.R2","MS07",102746669.9,1873186334,279240330.5,987941820.3,1922154070,82676920.69,236797002.9,179346162.3
"18","MS07.6.R2","MS07",18409160.15,1264869064,166193084.3,1023256119,1160548365,24031899.17,592407257.5,152635532.6
"19","MS14.1.R2","MS14",23734767.83,1677443154,344868021,245687559,195007957.7,31124083.08,185181089.5,268535373
"20","MS14.2.R2","MS14",40305539.44,1735336726,1015781730,361327623.6,216521186.3,44302996.12,106094590.3,1008022668
"21","MS14.3.R2","MS14",34593809.58,2364703529,1347469228,1093205344,268510233,31159686.18,121130611.6,1174874285
"22","MS14.4.R2","MS14",21903532.77,1976168582,308096981.5,166480577.4,300236447.5,81524535.18,27168730.66,741166437.5
"23","MS14.5.R2","MS14",96135114.43,3558479102,558699743.5,824402968.3,119101525.9,176783233.9,34942257.19,160630969.3
"24","MS14.6.R2","MS14",46233437.99,1248439161,434607463.5,197835666.5,270564821,94048937.04,13197707.49,325031265.4
"25","MS21.1.R2","MS21",287630733.1,1397090314,863075238.6,42867301.06,113074419.6,65144397.77,16184458.95,370438690.9
"26","MS21.2.R2","MS21",165875836,1717209111,896789507.4,183640886.7,46871116.43,951046492.4,16825255.4,629252886.2
"27","MS21.3.R2","MS21",48675532.92,3117348308,305312447.2,119994839.3,239921853.7,203573240.5,19709831.68,1298676912
"28","MS21.4.R2","MS21",174330825.9,989265664.2,352467362.9,18274915.79,116827021.7,82734873.38,7793953.395,263424082.7
"29","MS21.5.R2","MS21",423021983.5,933756577.1,160583331,41123609.25,39088500.9,135440536,7185732.213,236369499.8
"30","MS21.6.R2","MS21",98593759.76,1003810802,57504564.32,129005512.9,29371177.2,109610287.9,12067238.58,325880689.2
"31","MS28.1.R2","MS28",106764656.6,1196055459,426617192.9,89834559.39,19874818.17,151497790.6,15620956.4,502612286.7
"32","MS28.2.R2","MS28",95746118.75,745078547.3,543789193.9,29299588.13,93598609.55,60456939.71,9620841.71,434377538.3
"33","MS28.3.R2","MS28",115900830.6,770952094.4,543607330.3,25781664.34,19386559.62,133867301,14559552.61,678416193.8
"34","MS28.4.R2","MS28",134915464.5,1997570363,379285988,32756117.6,28438926.29,135955076.3,11905764.37,608090810.3
"35","MS28.5.R2","MS28",44401671.74,970308242.5,716532847.2,58737881.7,74039457.15,57888291.97,12863406.99,761756995.3
"36","MS28.6.R2","MS28",1289887426,802129731.6,536198029.2,13099272.13,19463738.79,104057844.9,9554643.314,270162973
"37","MS35.1.R2","MS35",266684138.8,790024880.9,600036023.9,44014854.61,9234307.868,128940103.2,9670304.088,339515913.1
"38","MS35.2.R2","MS35",298877537.3,1181959624,1970862660,16100083.05,18914715.23,109549295,13380517.86,386708121.2
"39","MS35.3.R2","MS35",3521019317,908952627.5,632089697.5,60883191.96,16137694.24,72601429.97,14276735.75,262416068.6
"40","MS35.4.R2","MS35",74758538.68,1309547280,324318912.6,8380878.048,62287488.55,151916102.3,9778103.679,496309932.4
"41","MS35.5.R2","MS35",94470175.23,1521887053,1043260182,20300656.37,203188718,112304785.2,8492449.274,628819791.1
"42","MS35.6.R2","MS35",78391215.07,3744284279,519681262.5,40267966.02,168970679.1,87421728.52,10374118.55,347000655.1
