,Superclass,Abundance,Cluster
1,Phenylpropanoids and polyketides,0.045081967,Cluster_2
2,Organoheterocyclic compounds,0.143442623,Cluster_2
3,Organic oxygen compounds,0.020491803,Cluster_2
4,Organic acids and derivatives,0.180327869,Cluster_2
5,Lipids and lipid-like molecules,0.405737705,Cluster_2
6,Benzenoids,0.106557377,Cluster_2
7,"Nucleosides, nucleotides, and analogues",0,Cluster_2
8,Other,0.098360656,Cluster_2
9,Phenylpropanoids and polyketides,0.041533546,Cluster_1
10,Organoheterocyclic compounds,0.10543131,Cluster_1
11,Organic oxygen compounds,0.127795527,Cluster_1
12,Organic acids and derivatives,0.185303514,Cluster_1
13,Lipids and lipid-like molecules,0.14057508,Cluster_1
14,Benzenoids,0.060702875,Cluster_1
15,"Nucleosides, nucleotides, and analogues",0.121405751,Cluster_1
16,Other,0.217252396,Cluster_1
