Phylum,MS01_1,MS01_2,MS01_3,MS01_4,MS01_5,MS01_6,MS03_1,MS03_2,MS03_3,MS03_4,MS03_5,MS03_6,MS07_1,MS07_2,MS07_3,MS07_4,MS07_5,MS07_6,MS14_1,MS14_2,MS14_3,MS14_4,MS14_5,MS14_6,MS21_1,MS21_2,MS21_3,MS21_4,MS21_5,MS21_6,MS28_1,MS28_2,MS28_3,MS28_4,MS28_5,MS28_6,MS35_1,MS35_2,MS35_3,MS35_4,MS35_5,MS35_6
Shannon index of bacterial community ,1.798561,2.8155679,1.1189518,3.5892542,3.9880343,4.3006059,1.1567001,3.9777051,4.4440597,3.6030017,1.1195026,3.6638257,2.3398264,3.1669365,3.152435,2.7682776,1.8817047,1.4898728,1.9820095,1.791798,3.3078243,0.9415739,2.0033682,1.6601939,1.1047558,3.0229914,2.0612977,1.762716,1.669357,2.474936,2.166181,2.1622544,1.8447267,1.993721,1.5017823,2.1411667,1.8073035,2.5443238,2.5349785,1.9558322,2.5077226,2.4887184
Shannon index of fungal community ,3.0384142,2.7854816,1.9364296,1.9742099,1.9718322,3.2777155,1.9337586,2.4748468,3.6223097,3.1924064,3.2291121,2.7014713,2.5300148,2.9655636,2.616712,2.6320735,2.1556269,2.9367866,2.6128319,2.2086414,2.1706811,2.5538218,1.9130521,2.2927531,2.6566047,1.569583,3.1521623,2.8351633,3.0953089,2.6244893,2.5443511,2.2206762,2.5480737,2.6321595,1.8620332,2.8569795,1.2376846,2.2674794,2.2283999,2.5627063,2.490894,2.2949401
Bacterial copies per gram,230319,445864,434183,451093,342484,234352,310133,438651,584543,452773,453261,372591,4973635,316981,928080,221417,419926,857642,15058646,664376886,98965563,20200680,21931227,37972922,42239488,81379443,25793045,83747691,172168136,93660750,45175002,336848859,119958720,138165390,29441500,97321223,101905602,515199997,233952361,144669469,105383859,589023424
Fungal copies per gram,4177,28443,16794,55286,13218,17492,15345,15084,45876,30110,53021,105659,732369,19725,91988,10167,59153,38114,2553087,21926017,14392063,649867,19868898,1375944,61906,4875199,1932218,1355924,2473754,702328,66671,17272173,37048,2631706,607444,759838,211509,12138732,2685442,1836544,1119588,12572196
Pseudomonadota,191869,287121,382063,273520,235083,130001,258392,188935,237445,267995,422601,199099,4673456,186309,618759,158384,387708,748130,12989215,54424254,35283110,20022851,19180073,34743055,41423997,48743990,7391125,80530201,164441741,42174581,8584689,127296199,54277072,120363093,27120846,36115890,56971717,71696130,68268891,51512207,52155816,77800673
Bacillota,6345,7774,3887,9042,10531,8614,16895,132862,61607,24155,8878,30170,77471,11444,175827,31838,15004,46472,1800774,593406182,59243838,84034,1502634,2989354,655674,21980793,17601973,2366194,7210136,50166551,36150953,204629344,65022585,14296212,1802361,60208174,44665566,440073128,164217883,92426117,51340628,507894693
Actinomycetota,5205,26629,8205,48175,14537,20083,23298,34549,101679,23731,4852,47273,86535,42377,92274,16490,11800,27637,210925,9425703,3265487,76195,1071568,211851,127940,2695821,737732,788611,441000,1237740,337303,3851343,376884,3114560,400195,670834,141008,2896000,1200143,625742,1321924,2998984
Bacteroidota,5681,10302,816,11884,10358,7020,583,13878,19256,16205,2125,11934,4936,5959,2639,4083,0,3171,14743,6242347,600340,3000,16057,4957,1325,7151108,14915,4044,21647,0,36977,627101,34070,98103,18294,104076,3597,214020,255864,46021,363242,188149
Acidobacteriota,9967,61363,26707,47357,23213,27958,3514,25432,59553,60689,7515,45591,60216,17015,10034,3334,0,8415,24846,253846,173802,3898,41656,19198,18888,20523,0,19737,30231,57900,12792,222538,96602,144605,33202,104566,60490,171423,0,17792,29126,96178
Ascomycota,2175,18263,11946,43576,11274,10808,6302,3853,31453,16408,40178,49178,379271,12996,33500,9243,37584,18391,909855,5929757,4257619,217107,10924338,795465,57345,885120,1283756,1166872,2231665,680268,62507,17098648,31771,2494164,569325,689297,206605,10393442,2048019,1762101,1004319,10772498
Mortierellomycota,522,505,173,6553,0,174,192,783,2378,8371,3996,17609,158545,467,10009,154,8394,8691,1602952,14939617,3019981,421516,464983,509508,2761,77389,614467,186937,221764,16119,2716,39505,1844,44309,29065,62791,3270,1705009,497757,24729,99054,1751001
Basidiomycota,1306,8751,4414,4647,1743,4766,8787,9665,10358,4737,5851,37987,185022,5528,24934,308,4844,2759,36268,104612,79927,1832,15770,56601,960,4230,5642,141,10791,2032,724,15100,1588,5231,7448,3565,355,14580,626,2261,1891,18337
Mucoromycota,0,84,174,0,201,0,0,587,383,0,2925,177,8623,533,23255,0,8136,8273,4012,941488,7031114,1467,8457257,12724,780,3907520,26470,1833,7734,3129,664,112718,128,85692,438,2945,71,13677,98955,45690,13514,14128
Chytridiomycota,0,0,0,0,0,1686,0,0,0,254,0,0,0,67,58,0,0,0,0,0,547,122,485,0,0,0,434,0,0,0,0,0,255,462,0,155,0,7966,13153,0,0,11723
