class,SuperClass
Benzophenanthridine alkaloids,Alkaloids and derivatives
Cinchona alkaloids,Alkaloids and derivatives
Morphinans,Alkaloids and derivatives
Plumeran-type alkaloids,Alkaloids and derivatives
Tropane alkaloids,Alkaloids and derivatives
Yohimbine alkaloids,Alkaloids and derivatives
Anthracenes,Benzenoids
Benzene and substituted derivatives,Benzenoids
Fluorenes,Benzenoids
Indanes,Benzenoids
Naphthalenes,Benzenoids
Phenanthrenes and derivatives,Benzenoids
Phenol esters,Benzenoids
Phenol ethers,Benzenoids
Phenols,Benzenoids
Endocannabinoids,Lipids and lipid-like molecules
Fatty Acyls,Lipids and lipid-like molecules
Glycerolipids,Lipids and lipid-like molecules
Glycerophospholipids,Lipids and lipid-like molecules
Prenol lipids,Lipids and lipid-like molecules
Sphingolipids,Lipids and lipid-like molecules
Steroids and steroid derivatives,Lipids and lipid-like molecules
(5'->5')-dinucleotides,"Nucleosides, nucleotides, and analogues"
5'-deoxyribonucleosides,"Nucleosides, nucleotides, and analogues"
Flavin nucleotides,"Nucleosides, nucleotides, and analogues"
Nucleoside and nucleotide analogues,"Nucleosides, nucleotides, and analogues"
Purine nucleosides,"Nucleosides, nucleotides, and analogues"
Purine nucleotides,"Nucleosides, nucleotides, and analogues"
Pyrimidine nucleosides,"Nucleosides, nucleotides, and analogues"
Pyrimidine nucleotides,"Nucleosides, nucleotides, and analogues"
Carboximidic acids and derivatives,Organic acids and derivatives
Carboxylic acids and derivatives,Organic acids and derivatives
Hydroxy acids and derivatives,Organic acids and derivatives
Keto acids and derivatives,Organic acids and derivatives
Organic carbonic acids and derivatives,Organic acids and derivatives
Organic phosphonic acids and derivatives,Organic acids and derivatives
Organic phosphoric acids and derivatives,Organic acids and derivatives
Organic sulfonic acids and derivatives,Organic acids and derivatives
Organic sulfuric acids and derivatives,Organic acids and derivatives
Peptidomimetics,Organic acids and derivatives
Sulfamic acid derivatives,Organic acids and derivatives
Organonitrogen compounds,Organic nitrogen compounds
Organic oxoanionic compounds,Organic oxygen compounds
Organooxygen compounds,Organic oxygen compounds
Azetidines,Organoheterocyclic compounds
Azoles,Organoheterocyclic compounds
Azolidines,Organoheterocyclic compounds
Azolines,Organoheterocyclic compounds
Benzimidazoles,Organoheterocyclic compounds
Benzopyrans,Organoheterocyclic compounds
Benzothiazoles,Organoheterocyclic compounds
Benzoxepines,Organoheterocyclic compounds
Biotin and derivatives,Organoheterocyclic compounds
Diazanaphthalenes,Organoheterocyclic compounds
Diazines,Organoheterocyclic compounds
Dihydrofurans,Organoheterocyclic compounds
Dithiolanes,Organoheterocyclic compounds
Furans,Organoheterocyclic compounds
Imidazopyrimidines,Organoheterocyclic compounds
Indoles and derivatives,Organoheterocyclic compounds
Isobenzofurans,Organoheterocyclic compounds
Isocoumarans,Organoheterocyclic compounds
Isoquinolines and derivatives,Organoheterocyclic compounds
Lactams,Organoheterocyclic compounds
Lactones,Organoheterocyclic compounds
Naphthofurans,Organoheterocyclic compounds
Oxazinanes,Organoheterocyclic compounds
Oxepanes,Organoheterocyclic compounds
Pteridines and derivatives,Organoheterocyclic compounds
Pyrans,Organoheterocyclic compounds
Pyridines and derivatives,Organoheterocyclic compounds
Pyrrolidines,Organoheterocyclic compounds
Quinolines and derivatives,Organoheterocyclic compounds
Tetrahydroisoquinolines,Organoheterocyclic compounds
Tetrapyrroles and derivatives,Organoheterocyclic compounds
Thienopyridines,Organoheterocyclic compounds
Triazines,Organoheterocyclic compounds
Cinnamaldehydes,Phenylpropanoids and polyketides
Cinnamic acids and derivatives,Phenylpropanoids and polyketides
Coumarins and derivatives,Phenylpropanoids and polyketides
Diarylheptanoids,Phenylpropanoids and polyketides
Flavonoids,Phenylpropanoids and polyketides
Isoflavonoids,Phenylpropanoids and polyketides
"Linear 1,3-diarylpropanoids",Phenylpropanoids and polyketides
Macrolactams,Phenylpropanoids and polyketides
Macrolides and analogues,Phenylpropanoids and polyketides
Phenylpropanoic acids,Phenylpropanoids and polyketides
Stilbenes,Phenylpropanoids and polyketides
Tetracyclines,Phenylpropanoids and polyketides
