"","X1","X2"
"1","Tissierella",43.2532949248999
"2","Pseudomonas",19.8216060611857
"3","bacteriap25_genus",15.5973949032033
"4","Vicinamibacterales_genus",12.2550660395176
"5","Herminiimonas",8.91262494630216
"6","Massilia",8.08042279057131
"7","Vicinamibacteraceae_genus",6.07818714722083
"8","Stenotrophomonas",5.16434264054464
"9","Proteus",4.4973728306015
"10","Lactobacillus",3.58618927319671
"11","Escherichia.Shigella",3.35292956227877
"12","Morganella",3.31949392484059
"13","Psychrobacillus",2.27917944939166
"14","Lysinibacillus",1.83742024015337
"15","WD2101_soil_group_genus",1.60644718070124
"16","Mammaliicoccus",1.42546824616202
"17","Clostridium",1.01311326064676
"18","Delftia",0.962231871356267
"19","MND1",0.927448922022422
"20","X67_14_genus",0.920062620731121
"21","Peribacillus",0.848908887584637
"22","Bryobacter",0.772730792448292
"23","UTCFX1",0.727167591891133
"24","Gemmatimonadaceae_genus",0.725781994949495
"25","Domibacillus",0.555198525252525
"26","Solibacillus",0.461174371392496
"27","Gemmata",0.351002525252525
"28","S085_genus",0.31965446969697
"29","Serratia",0.313530027195027
