ID,Day,Stage
MS01_1,1,Fresh
MS01_2,1,Fresh
MS01_3,1,Fresh
MS01_4,1,Fresh
MS01_5,1,Fresh
MS01_6,1,Fresh
MS03_1,3,Fresh
MS03_2,3,Fresh
MS03_3,3,Fresh
MS03_4,3,Fresh
MS03_5,3,Fresh
MS03_6,3,Fresh
MS07_1,7,Fresh
MS07_2,7,Fresh
MS07_3,7,Fresh
MS07_4,7,Fresh
MS07_5,7,Fresh
MS07_6,7,Fresh
MS14_1,14,Aged
MS14_2,14,Aged
MS14_3,14,Aged
MS14_4,14,Aged
MS14_5,14,Aged
MS14_6,14,Aged
MS21_1,21,Aged
MS21_2,21,Aged
MS21_3,21,Aged
MS21_4,21,Aged
MS21_5,21,Aged
MS21_6,21,Aged
MS28_1,28,Aged
MS28_2,28,Aged
MS28_3,28,Aged
MS28_4,28,Aged
MS28_5,28,Aged
MS28_6,28,Aged
MS35_1,35,Aged
MS35_2,35,Aged
MS35_3,35,Aged
MS35_4,35,Aged
MS35_5,35,Aged
MS35_6,35,Aged
