"","label","phylum"
"1","Mortierella","Mortierellomycota"
"2","Fusarium","Ascomycota"
"3","Acaulium","Ascomycota"
"4","Chaetothyriales_gen_Incertae_sedis","Ascomycota"
"5","Linnemannia","Mortierellomycota"
"6","Knufia","Ascomycota"
"7","Cladosporium","Ascomycota"
"8","Cheilymenia","Ascomycota"
"9","Neocosmospora","Ascomycota"
"10","Scopulariopsis","Ascomycota"
"11","Pseudogymnoascus","Ascomycota"
"12","Filobasidium","Basidiomycota"
"13","Solicoccozyma","Basidiomycota"
"14","Trichomeriaceae_gen_Incertae_sedis","Ascomycota"
"15","Botryotrichum","Ascomycota"
"16","Aureobasidium","Ascomycota"
"17","Alternaria","Ascomycota"
"18","Phaeosphaeriaceae_gen_Incertae_sedis","Ascomycota"
"19","Metarhizium","Ascomycota"
"20","Bradymyces","Ascomycota"
"21","Fungi_gen_Incertae_sedis","Fungi_phy_Incertae_sedis"
"22","Pseudoarthrographis","Ascomycota"
"23","Dactylonectria","Ascomycota"
"24","Pleosporales_gen_Incertae_sedis","Ascomycota"
"25","Paraphoma","Ascomycota"
"26","Cephalotrichum","Ascomycota"
"27","Coniosporium","Ascomycota"
"28","Trichocladium","Ascomycota"
"29","Spizellomycetales_gen_Incertae_sedis","Chytridiomycota"
"30","Acremonium","Ascomycota"
"31","Dothiora","Ascomycota"
"32","Geopora","Ascomycota"
"33","Niesslia","Ascomycota"
"34","Plectosphaerella","Ascomycota"
"35","Orbiliaceae_gen_Incertae_sedis","Ascomycota"
"36","Orbiliales_gen_Incertae_sedis","Ascomycota"
"37","Setophaeosphaeria","Ascomycota"
"38","Naganishia","Basidiomycota"
"39","Tetracladium","Ascomycota"
"40","Minimedusa","Basidiomycota"
"41","Articulospora","Ascomycota"
"42","Mrakia","Basidiomycota"
"43","Herpotrichiellaceae_gen_Incertae_sedis","Ascomycota"
"44","Exophiala","Ascomycota"
"45","Crocicreas","Ascomycota"
"46","Didymella","Ascomycota"
"47","Thelephoraceae_gen_Incertae_sedis","Basidiomycota"
"48","Phomatospora","Ascomycota"
"49","Bisifusarium","Ascomycota"
"50","Vishniacozyma","Basidiomycota"
"51","Cystofilobasidium","Basidiomycota"
"52","Paramyrothecium","Ascomycota"
"53","Samsoniella","Ascomycota"
"54","Cyphellophora","Ascomycota"
"55","Lentitheciaceae_gen_Incertae_sedis","Ascomycota"
"56","Lobulomycetales_gen_Incertae_sedis","Chytridiomycota"
"57","Stagonosporopsis","Ascomycota"
"58","Beauveria","Ascomycota"
"59","Bacillicladium","Ascomycota"
"60","Kernia","Ascomycota"
"61","Rozellomycota_gen_Incertae_sedis","Rozellomycota"
"62","Hebeloma","Basidiomycota"
"63","Tausonia","Basidiomycota"
"64","Ochroconis","Ascomycota"
"65","Pseudocoleophoma","Ascomycota"
"66","Sympoventuriaceae_gen_Incertae_sedis","Ascomycota"
"67","Leptosphaeria","Ascomycota"
"68","Clonostachys","Ascomycota"
"69","Stagonospora","Ascomycota"
"70","Torula","Ascomycota"
"71","Aspergillus","Ascomycota"
"72","Hypocreales_gen_Incertae_sedis","Ascomycota"
"73","Neosetophoma","Ascomycota"
"74","Ascobolus","Ascomycota"
"75","Coniothyrium","Ascomycota"
"76","Vandijckella","Ascomycota"
"77","Lysurus","Basidiomycota"
"78","Neocucurbitaria","Ascomycota"
"79","Neodactylaria","Ascomycota"
"80","Rhizophlyctis","Chytridiomycota"
"81","Trichothecium","Ascomycota"
"82","Tulostoma","Basidiomycota"
"83","Podospora","Ascomycota"
"84","Preussia","Ascomycota"
"85","Subulicystidium","Basidiomycota"
"86","Stachybotrys","Ascomycota"
"87","Gibellulopsis","Ascomycota"
